,原句,第一个词,第二个词,tag,第一个词位置,第二个词位置
667,在 这 故事 里 ， 一群 暴徒 围着 一个女人 ， 用 石头 打 她 通奸 ， 问 耶稣 他们 该 怎么 做,故事,暴徒,14,2,6
668,在 这首诗 中 ， 信天翁 开始 跟随 一艘船 被信 天翁 跟随 通常 被 认为 是 好运 的 预兆 。,这首诗,信天翁,18,1,4
669,这 座 要塞 有 西南 唯一 的 大门,要塞,大门,3,2,7
670,石头 生姜 啤酒 有 一个 生姜 ' 咬 ' 没有 ' 姜烧伤 ' 更 辣 的 牙 买 加 生姜 啤酒,生姜,啤酒,9,1,20
671,对于 最初 的 种马场 来说 ， 想要 为 龙骑兵 和 轻 骑兵 生产 最好 的 马 ， 最 理想 的 是 方形 框架 的 较轻 的 马 。,马,龙骑兵,10,15,8
672,地震 的 第一个 到达 是 p波 ， 它 通常 是 相对 较 低 的 振幅,地震,地震,1,0,0
673,我 给 你 寄 了 一个 装有 现金 的 手提箱 ， 这样 你 就 可以 把 它 装满 酒胶 了,手提箱,现金,5,9,7
674,同样 失踪 的 还有 一把38 口径 的 史密斯 - 韦斯森 枪 ， 它 装 在 拖拉机 的 手提箱 里,枪,手提箱,4,10,17
675,这些 中心 连同 适当 的 教育 和 心理 社会 干预 措施 ， 帮助 儿童 克服 地震 造成 的 创伤 和 压力 。,创伤,地震,1,18,15
676,美国 滑雪者 林赛·冯 因 大雾 导致 瓦莱泽尔 取消 比赛 而 否认 下坡 三冠 王,大雾,取消,0,4,7
677,当 巡洋舰 驶向 港口 时 ， 船尾 一直 在 下沉 。,船尾,巡洋舰,2,6,1
678,联邦政府 在 库克湾 上游 建立 了 白鲸 的 重要 栖息地 。,栖息地,联邦政府,16,9,0
679,15分钟后 他 带 着 一个 瓶子 回来 ， 里面 有 三只 蜥蜴,瓶子,蜥蜴,5,5,11
680,马克 还 谈到 了 9 · 11 事件 后 移民 面临 的 公民 权利 和 公民 自由问题 。,自由问题,移民,18,16,9
681,我 的 哈巴狗 下巴 下面 有 小 疙瘩,哈巴狗,下巴,3,2,3
682,用户 正在 使用 传统 散热器 冷却 功耗 为 35W 的 处理器,用户,使用,18,0,2
683,当 我们 离开 房子 的 时候 ， 我们 发现 了 一个 手提箱 ， 里面 有 三四本 约旦 护照 、 衣服 和 卫生 用品 。,手提箱,护照,5,11,17
684,总统 又 把 税收 和 开支 作为 重大 问题,总统,税收,18,0,3
685,学生 使用 序列器 或 符号 程序 创建 组合 形式,学生,程序,11,0,5
686,演讲 的 主题 是 制度 暴力 与 诗歌 暴力 的 关系,演讲,关系,14,0,10
687,支架 在 55分钟内 插入 病人 的 动脉,支架,动脉,6,0,6
688,该 出版物 与 一个 国际 研究 项目 有关,出版物,项目,14,1,6
689,到 工作日 结束 时 ， 愤怒 从 城市 中 散发 出来 。,愤怒,城市,1,5,7
690,这个 农场 有 80台 涡轮机 ， 发电 160兆瓦 ， 几乎 占 丹麦 总 用电 量 的 2% 。,农场,涡轮机,3,1,4
691,结论 一章 是 谨慎 的 ， 围绕 着 这本书 的 六个 主题 进行 组织,一章,主题,14,1,11
692,鹞 是 一种 大型 、 细长 的 鹰形 鸟 ， 有 长尾巴 和 细长 的 腿 。,鸟,长尾巴,3,8,11
693,公共 教育 体系 使 国家 走向 繁荣,国家,繁荣,18,4,6
694,制作 和 装配 马蹄铁 只是 铁匠 生活 的 一部分,马蹄铁,铁匠,18,3,5
695,科学家 发现 这些 药物 与 心脏 瓣膜 病 有关,药物,病,0,3,7
696,蜂蜡 是 蜜蜂 属 蜜蜂 蜂巢 中 产生 的 一种 天然 蜡 。,蜂巢,蜜蜂,18,5,4
697,贝维洛娜 假装 惊恐 万分 ， 把 受惊 的 农民 藏 在 木桶 里 。,农民,木桶,6,8,11
698,一般来说 ， 这种 品种 是 农民 在 平地 上 种植 的 。,品种,农民,18,3,5
699,然而 ， 有人 打破 了 马路 对面 链条 的 挂锁,挂锁,链条,2,9,7
700,引起 火灾 的 罪犯 非法 进入 我 国,罪犯,火灾,0,3,1
701,圣餐 是 教会 使命 的 源泉,圣餐,使命,9,0,3
702,下 一张照片 显示 只有 一个 手提箱 ， 里面 的 衣服 整齐 地 叠 在 床上,手提箱,衣服,5,5,9
703,我们 的 露营者 徒步 或 乘 独木舟 在 河里 ， 来到 了 一些 壮观 的 荒野 。,露营者,荒野,6,2,15
704,一张 文件 照片 显示 一个 微光 飞行员 和 鹅 一起 飞行,飞行员,鹅,18,6,8
705,乔治华盛顿 写 的 一封 赞扬 新 宪法 的 信 在 一次 拍卖 会 上 以 320万美元 成交 ， 这 是 美国 第一任 总统 一封信 的 最高 价格 。,信,总统,16,8,22
706,他 把 他 的 激情 倾注 在 他 的 情人 身上,激情,情人,6,4,9
707,十几岁 的 男孩 和 女孩们 边 唱 边 跳 ， 很高兴 看到 他们 的 合唱 。,合唱,男孩,13,14,2
708,25年 来 ， 新伯尔尼 的 圣诞节 包括 一支 装饰 精美 的 船队 ， 沿着 纽斯河 和 特伦特河 在 联合点公园 的 交汇处 滑行 。,船队,船队,13,11,11
709,在 汉普郡哈万特 和 西苏塞克斯郡奇切斯特 之间 的 A27公路东行 上 ， 一辆 用 杰克刀 的 卡车 造成 了 延误 。,卡车,延误,0,13,16
710,引起 呼吸道 疾病 的 病毒 通常 能够 引起 一系列 的 临床表现 ， 并且 无 症状 的 感染 是 可能 的 。,病毒,疾病,0,4,2
711,营养 巧克力 是 由 可可酱 、 可可脂 和 糖 制成 的 。,巧克力,可可酱,8,1,4
712,右边 的 门 关 着 一个 熏蒸室,门,熏蒸室,2,2,6
713,他们 的 整个 未来 正 陷入 混乱,未来,混乱,18,3,6
714,公布 的 计划 完全 考虑到 了 残疾人 的 需要,计划,需要,14,2,8
715,他 的 妻子 ， 一个 成功 的 公司 律师 ， 已经 放弃 了 工作,妻子,工作,18,2,13
716,工匠 买 了 自己 的 铁 ， 完成 了 他 的 铰链 ， 包装 好 ， 然后 把 它们 运 到 城里 工厂 的 仓库 里 。,工匠,铁,11,0,5
717,这一节 末尾 少 了 三行 ， 隐士 用 弓 展示 了 他 的 神力 。,隐士,弓,11,6,8
718,弗兰肯 的 叔叔 在 俄国 军队 里 ， 和 巴里 的 叔叔 一起 解放 了 奥斯威辛集中营 。,叔叔,叔叔,18,2,11
719,92% 的 二氧化碳 排放 是 由 卡车 造成 的 ， 但 这 不 公平 ， 因此 需要 采用 不同 的 分配 方法,排放,卡车,1,3,6
720,每个 独立 变量 都 不断地 移动 到 轴 上 。,变量,轴,6,2,7
721,Intihuatana 是 一个 太阳 观测 站 ， 允许 印加人 根据 太阳 在 石头 上 造成 的 阴影 来 记录 一年 中 的 季节 和 时间 的 流动 。,阴影,太阳,17,16,10
722,这个 有趣 的 故事 幽默 地 指出 ， 人生 最大 的 风险 可能 是 不 去 冒险 。,故事,风险,14,3,11
723,这 是 列强 支持 的 知识分子人 为 的 、 行 不通 的 创造 。,创造,知识分子人,16,12,5
724,在 过去 的 10年 中 ， web 技术 已经 进入 企业,技术,企业,6,7,10
725,有一次 我们 因为 飞机 离 跑道 太 远 而 延误 了 6个小时 ， 所以 每次 我们 到 跑道 时 ， 飞机 又 结冰 了 。,飞机,跑道,8,3,17
726,风 在 坚硬 的 基础 上 用 僵硬 的 手指 撬开 。,风,手指,3,0,9
727,把 舒适 食品 放在 超市 的 货架 上 ， 多 买 些 水果 和 蔬菜 ， 这样 你 就会 大吃 大喝 健康 食品 ， 相信 我 ， 我 经常 这么 做,货架,超市,2,6,4
728,参与者 使用 带有 一个 连续 可变 的 无 标记 旋钮 的 衰减器 ， 对 杂音 进行 了 三次 调整 。,参与者,衰减器,11,0,11
729,讨论 的 核心 是 新闻 摄影业 目前 正在 经历 的 金融 和 艺术 危机 。,讨论,危机,14,0,13
730,此外 ， 土壤 和 河流 系统 受到 可卡 因 生产 中 使用 的 有害 化学 物质 的 污染 ， 空气 也 受到 燃烧 丛林 和 森林 种植 古柯树 所 产生 的 烟雾 的 污染 。,烟雾,燃烧,1,31,22
731,他 花 200英镑 买 了 一个 金 手镯,金,手镯,18,6,7
732,系列 节目 1 是 一部 记录片 ， 详细 描述 了 明星 学生 进入 为期 一周 的 “ 指挥棒 训练营 ” 后 ， 指挥 训练 的 第一 阶段 。,记录片,阶段,14,5,26
733,空气 在 机器 臂部 循环 ， 形成 一个 温和 的 真空 ， 可以 吸引 一页 纸 ， 并 将它 从 书 的 右侧 引导 到 左侧,臂部,机器,2,3,2
734,地震 造成 的 经济损失 估计 为 700万,经济损失,地震,1,3,0
735,12月26日 的 海啸 灾难 是 由 地震 引发 的 海啸 的 一个 例子,海啸,灾难,0,2,3
736,暴力 事件 导致 警察 卡波·菲利波·拉西蒂 死亡 ， 这 引起 了 广泛 的 反省 和 意大利 足坛 长达 一周 的 停摆 。,暴力,死亡,0,0,5
737,火车 在 铁路 上 撞上 了 一头 牛,火车,牛,6,0,7
738,当 加工 零件 需要 比 通常 的 二元分馏法 更 精确 时 ， 工程师 的 规模 就 成立 了 。,工程师,规模,11,12,14
739,工人们 用 从 腹部 腺体 中 挤出 的 蜡 制作 梳子 。,工人们,梳子,17,0,10
740,这些 和 许多 其他 的 故事 被 新 科学家 用来 支持 他们 的 理论,故事,科学家,10,5,8
741,泰坦 加热 真皮 层 以 引起 胶原 蛋白 收缩 ， 同时 通过 持续 冷却 确保 表皮 的 保存 。,保存,冷却,1,17,13
742,螺旋 光 是 由 导弹 引起 的,光,导弹,1,1,4
743,其中 一篇 发表 在 《 气候研究 》 杂志 上 的 论文 被 证明 有 严重 的 缺陷 ， 丑闻 导致 主编 辞职 。,丑闻,辞职,0,18,21
744,Manager 已 将 背景 文本 水印 添加 到 现有 PDF 文件 中 。,水印,文件,6,5,10
745,在 讨论 过程 中 有人 指出 ， 美国 的 中产阶级 和 下层 阶级 对 工作 的 反应 似乎 也 不同,讨论,有人,14,1,4
746,这 是 一个 艺术家 的 潦草 涂鸦 ， 描绘 的 是 连 在 一块 像 天一样 大 的 画布 上 也 无法 描绘 的 东西 。,潦草,艺术家,16,5,3
747,2000年 ， 一位 农民 用 数百 捆 8英尺 见方 的 稻草 做 了 伪装 ， 并用 蓝色 防水 布 覆盖 了 顶部 。,农民,伪装,17,3,13
748,脂肪 迁移 到 令人 窒息 的 巧克力 中,脂肪,巧克力,6,0,6
749,未 煮熟 的 牛排 放 在 冰箱 的 顶层 架子 上 ， 而 未 煮熟 的 烤鸡 放在 底层 架子 上,架子,冰箱,2,9,6
750,牙医 使用 镇静 以 提供 无忧 牙科 经验 。,牙医,镇静,11,0,2
751,城市 人均 碳 排放 量 惊人 地 低,城市,排放,0,0,3
752,塞尔维亚 的 一个 小 村庄 树立 了 一座 雕像 ， 以 纪念 其 收养 的 赞助人 西尔维斯特·史泰龙 的 洛基 。,村庄,雕像,18,4,8
753,昨天 我 发现 一个 瓶子 里 有 5个 芬太明,瓶子,芬太明,5,4,8
754,听诊器 能 让 医生 听到 你 的 心跳 和 肺部 的 声音,听诊器,医生,10,0,3
755,当 灵魂 离开 身体 的 时候 ， 它 在 最初 的 时刻 是 完全 不穿 衣服 的 ， 就像 在 出生 的 时候 一样 。,灵魂,身体,8,1,3
756,一 小 部分 黄油 放在 壁炉 上 的 罐子 里 ， 鸡蛋 放在 挂 在 附近 一个 钉子 上 的 篮子 里 。,黄油,罐子,4,3,8
757,他 慢慢地 把 磁盘 插入 可 移动 磁盘 驱动器,磁盘,磁盘,6,3,7
758,该 小组 试图 通过 一项 简短 的 笔信 和 纸信 取消 任务 来 评估 警惕性 。,小组,任务,11,1,11
759,该 网站 有 一个 专门 的 蜥蜴 休息室 ， 他们 投票 选出 任何 不 同意 的 人 。,休息室,蜥蜴,13,7,6
760,一个 放在 粘 东西 上 的 中餐 容器 被 掀开 撕破 ， 冰箱 的 架子 上 粘着 一小块 纸板 。,架子,冰箱,2,14,12
761,强大 的 混乱 战舰 击落 了 一场 由 炮舰 和 吊舱 组成 的 冰雹 ， 使 这个 星球 充斥 着 邪恶 和 腐败 的 瘟疫 海军 陆战队 。,冰雹,炮舰,13,13,8
762,他 把 鼻子 上 的 鼻孔 打开 一点 ， 使 左右翼 合拢 。,鼻孔,鼻子,2,5,2
763,在 日本 ， 我 在 去 新加坡 的 路上 通过 安检 带 了 一个 装有 水 的 瓶子,瓶子,水,5,17,15
764,平装 小册子 放在 活页夹 里 ， 如下 所示,小册子,活页夹,6,1,3
765,约翰·查尼 被 发现 在 克拉克斯堡 农场 的 牧场 上 放牛 。,放牛,农场,18,9,5
766,这个 识别器 使用 多达 几百个 单词 的 词汇 。,识别器,词汇,3,1,7
767,被 问题 包围 ， 女孩 开始 写 博客 为 自己 辩护 ， 并 利用 她 的 新 名声,女孩,博客,17,4,7
768,他 有 一个 巨大 的 动物园 ， 里面 有 来自 世界 各地 的 野兽 ， 但 这 对 他 来说 还不够 。,动物园,动物园,13,5,5
769,这 把 钳子 是 约翰 的 电工 的,钳子,电工,10,2,6
770,根据 欧洲事务委员会 （ european affairs committee ） 的 一份 新 报告 ， 欧盟 还 应 培训 所有 公职人员 和 公务员 ， 使 他们 避免 歧视 这 一 群体 。,报告,欧洲事务委员会,16,10,1
771,非法 枪支 通过 墨西哥 帮派 流入 这个 国家 。,枪支,国家,6,1,7
772,机舱 内 的 控制 布局 包括 计算机显示器 、 传统 控制面板 和 两个 操纵杆 ， 用于 控制 起重 机臂,布局,计算机显示器,3,4,6
773,英国 海军 于 1861年12月 从 史蒂文斯 那里 购买 了 一个 包裹 ， 里面 有 116只 来自 包括 迈索尔 在内 的 各个 地方 的 鸟 。,包裹,鸟,13,10,23
774,就像 在 奥约州 ， 奥巴桑乔 组建 了 一个 叛徒集团 ， 他们 相信 国库 是 他们 与生俱来 的 权利 。,叛徒集团,叛徒集团,13,8,8
775,船 还 没 离开 海岸 ， 他 就 有 足够 的 时间 去 那儿 回来 了 。,船,海岸,8,0,4
776,当地 报纸 不断地 向 新布 赖顿 居民 通报 该市 的 各种 事件 。,报纸,事件,14,1,11
777,这 首 音乐 是 由 一位 在 村外 不 为人 所 知 的 音乐家 创作 的 。,音乐,音乐家,16,2,13
778,用户 正在 使用 传统 散热器 冷却 功耗 为 35W 的 处理器,用户,散热器,11,0,4
779,增加 的 原因 是 氧气 和 臭氧 吸收 了 紫外线 。,增加,吸收,1,0,7
780,托盘 还 用来 装 厨房 抽屉 里 的 餐具 。,餐具,抽屉,4,8,5
781,他们 的 文本 提到 了 像 亚特兰蒂斯 这样 的 古代 文明 。,文本,文明,14,2,10
782,服用 药物 减少 因 过敏 而 打喷嚏 和 咳嗽,咳嗽,过敏,1,8,4
783,我们 吃 了 早饭 ， 柴 在 一个 玻璃杯 里 ， 我 觉得 有点 奇怪,柴,玻璃杯,4,5,8
784,一种 由 固定 和 移动 部分 组成 的 装置 ， 它 能 改变 机械能 并 以 更 有用 的 形式 传送 它,装置,部分,3,8,5
785,尿液 被 排入 尿袋,尿液,尿袋,6,0,3
786,对 某事 表现出 兴趣 是 抑郁症 后 走向 幸福 的 一大步,幸福,抑郁症,18,8,5
787,绿色 的 手提箱 放在 一个 更大 的 棕色 手提箱 里 ， 里面 还有 一套 小 念珠 、 一张 宗教 图片 、 一张 5岁 女孩 的 照片 和 一张 写 着 生日 祈祷 的 卡片 。,手提箱,手提箱,4,2,8
788,到 现在 为止 ， 我的朋友们 已经 熟悉 了 我 对 吐司 近乎 英语 的 痴迷,我的朋友们,痴迷,18,4,14
789,这 名 乘客 被 安置 在 一个 小 房间 里 ， 然后 被 送往 海港医疗中心 接受 治疗 。,乘客,房间,6,2,8
790,食指 被 放在 一个 普通 外野手 的 手套 里 ， 但 它 似乎 被 放置 在 一个 很难 帮助 关闭 球 周围 手套 的 角度 。,外野手,手套,11,5,22
791,研究 人员 把 这种 化合物 放在 一根 管子 里 ， 然后 放 进 磁铁 里,管子,磁铁,6,7,13
792,放射学 是 医学 中 研究 和 应用 成像 技术 的 分支 或 专业 。,放射学,成像,18,0,7
793,《 地上 的 力量 》 是 一部元 小说 ， 是 一位 平庸 的 小说家 出人意料 的 杰作 。,杰作,小说家,16,16,13
794,这家 餐馆 有 四个 营业点 ， 都柏林屠夫巴克利公司 所有 。,都柏林屠夫巴克利公司,都柏林屠夫巴克利公司,18,6,6
795,因此 ， 使用 了 一种 不同 的 方法 ， 包括 避孕套 、 一些 草莓糖浆 和 一块 镀 铝片 （ 不 像 听起来 那么 古怪 ）,草莓糖浆,草莓糖浆,9,13,13
796,通过 这 项 呼吁 筹集 的 资金 对 受 风暴 造成 的 严重 破坏 影响 的 人民 有 直接影响,破坏,风暴,1,13,9
797,死亡 行军 幸存者 的 书构 成 了 这个 案件 的 基础,书构,幸存者,16,4,2
798,微胶囊 的 药物 释放 受 扩散 控制,药物,微胶囊,8,2,0
799,每当 我们 尝试 新 的 屠夫 时 ， 我们 总是 先 买 屠夫 的 香肠 。,屠夫,香肠,17,5,14
800,他 的 毕业论文 为 决斗 提供 了 有价值 的 背景 资料 。,毕业论文,背景,14,2,9
801,此项 测试 的 结果 已 在 本 项目 先前 的 技术 进度 报告 中 列出,结果,报告,15,3,12
802,星期天下午 ， 联合航空公司 的 乘客 被 带 到 机场 的 一个 房间 大约 三个小时 后 离开 了 机场 。,乘客,机场,8,4,17
803,这 项 妥协 通过 一系列 秘密 谈判 解决 了 这 场 危机 ， 其中 包括 共和党 和 民主党 的 政治家 以及 各种 利益集团,妥协,谈判,1,2,6
804,在 费城国际机场 ， 一名 乘客 试图 将 一个 装满 可卡因 的 手提箱 带 上 飞机 后 被拘留 。,手提箱,可卡因,5,11,9
805,这本书 以 一种 对 光线 和 质感 极其 敏感 的 传统 方式 对待 绘画 。,这本书,绘画,14,0,13
806,他们 用 薄 毯子 把 他 裹 好 后 ， 把 婴儿 放在 他 父亲 为 他 雕刻 的 摇篮 里 。,婴儿,摇篮,6,11,19
807,护士 挥动 手术刀,护士,手术刀,11,0,2
808,浴缸 里 装满 了 书 ， 额外 的 空间 变得 至关重要,浴缸,书,5,0,4
809,将 细 粉 装入 直径 为 3 的 橡胶袋 中 ， 并 将 袋子 装 在 不锈钢 或 塑料 护套 中,橡胶袋,护套,4,8,19
810,这种 吸收性 在 蜡烛 中 很重要 ， 因为 灯芯 需要 吸收 液体 蜡 ， 并 在 蜡烛 燃烧 时 向上 移动 。,蜡烛,灯芯,3,3,8
811,轻 可燃物 作为 蒸汽 锅炉 产生 蒸汽 所用 的 可燃 燃料 被 扔进 煤仓,可燃物,煤仓,6,1,13
812,作者 常常 偏离 对 所 发生 的 事情 以及 与 该 行动 有关 的 事实 和 力量 的 解释 。,作者,解释,18,0,18
813,在 这部 宪法 中 ， 人民 是 一切 权力 的 源泉 ， 但 它 没有 行使 任何 权力,人民,权力,9,5,17
814,该 乐队 演奏 出 高水平 的 音乐性 、 活力 和 精神 ， 同时 将 敏感 的 群体 互动 与 动态 的 独奏 即 兴 曲 结合 起来 。,乐队,音乐性,18,1,6
815,一个 赤膊上阵 的 农民 用 一台 手动 耕耘机 辛勤 地 耕耘 着 土地 ， 而 他 的 妻子 则 悄悄地 为 新 翻 的 土地 播种 。,农民,手动,11,3,6
816,鱼群 聚集 在 浅滩 ， 河里 或 湖里 的 浅水处,鱼群,浅滩,12,0,3
817,凡 工人 在 工厂 工作 ， 在 任何 一天 超过九小时 ， 或 在 任何 一星期超过四十八小时 ， 他 有权 按 其 正常 工资 的 两倍 领取 工资 。,工厂,超过九小时,18,3,9
818,两周前 ， 共和党 参议员 就 著名 气候 科学家 泄露 的 电子邮件 对 白宫 科学 官员 进行 了 猛烈 抨击 。,电子邮件,科学家,8,10,7
819,甚至 连 冰箱 的 铰链 都 隐藏 起来 ， 以 提供 一个 整洁 的 外观,铰链,冰箱,2,4,2
820,因此 ， 太阳能 热 发电 的 工作原理 与 化石 燃料 发电 基本 相同 ， 只是 蒸汽 不是 利用化石燃料燃烧 产生 的 蒸汽 ， 而是 由 太阳光 收集 的 热量 产生 的,蒸汽,热,1,15,3
821,但 这个 问题 需要 一个 更广泛 的 解决方案 ， 一个 符合 美国 对 跨境 合作 新 承诺 的 解决方案,问题,解决方案,18,2,18
822,该 软件 使用 随机算法 创建 图片 ， 并 在 多 个 页面 上 分段 打印 ， 这些 页面 可以 裁剪 和 组装 以 制作 大型 海报,软件,随机算法,11,1,3
823,托达 已 成为 世界上 最 重要 的 纸 飞机 文件夹 。,文件夹,飞机,17,9,8
824,展览 探索 了 中世纪 人们 的 思想 和 信仰,展览,思想,14,0,6
825,叙事 身份 参与 了 故事 的 运动 ， 在 秩序 与 无序 的 辩证 关系 中,身份,运动,18,1,6
826,以下 讨论 主要 集中 在 拍摄 儿童 的 问题 上,讨论,问题,14,1,8
827,长期以来 ， 我 一直 是 一个 狂热 的 仰慕者 ， 用户 和 买家 的 针织品 生产 这家 优秀 的 公司 总部 设在 小 边境 城镇 霍威克 。,针织品,公司,16,14,19
828,如果 需要 的 话 ， 也许 是 为了 加强 对 从 床垫 下面 爬 出来 的 豌豆 的 邪恶 的 描述,豌豆,床垫,8,16,11
829,最近 ， 甚至 女性 也 在 肌肉 中 注射 类固醇 。,类固醇,肌肉,6,9,6
830,它们 是 定义 允许 的 光盘 格式 的 标准 集合,标准,格式,14,8,6
831,癌症 起源于 单个 细胞,癌症,细胞,8,0,3
832,古老 的 地质 理论 把 山脉 解释 为 地球 冷却 时 收缩 而 形成 的 褶皱,理论,山脉,14,3,5
833,我 的 薄荷 朱利普 在 一个 玻璃杯 里,薄荷,玻璃杯,4,2,6
834,被 掩埋 的 受 污染 建筑物 向 土壤 中 泄漏 了 辐射,辐射,土壤,6,11,7
835,另 一张照片 显示 一名 工人 嘴里 叼 着 一支 香烟 ， 一个 饭盒 从 肌肉 发达 的 胳膊 下 蹦 出来 。,工人,香烟,11,4,9
836,他 不 小心 把 文件 放错 了 文件夹,文件,文件夹,6,4,7
837,这种 新 香烟 会引起 头痛 和 恶心 ， 并 含有 危险 的 化学 物质,香烟,恶心,0,2,6
838,该 方法 在 识别 过程 中 检查 解码器 的 假设 堆栈 ， 并 在 剪枝 之前 选取 最 可能 的 项,假设,堆栈,12,9,10
839,孟加拉国 敦促 印度 取消 这 两个 邻国 之间 的 旅行 签证 ， 以 促进 贸易 。,签证,旅行,18,10,9
840,一位 加拿大 医生 只用 按摩 就 治 好 了 我,医生,按摩,11,2,4
841,去年九月 ， 那个 被 定罪 的 窃贼 从一 所 开放 的 监狱 里 逃 了 出来,窃贼,监狱,8,6,11
842,我 确保 末端 仍 能 在 定位销杆 上 自由 滑动,定位销杆,定位销杆,18,6,6
843,据 指出 ， 在 政策 和 程序 审查 的 最后一次 会议 上 审议 了 这 项 政策 。,政策,会议,15,4,10
844,人们 过去 常 往 这个 喷泉 里 扔 硬币,硬币,喷泉,6,8,5
845,例如 ， 一家 技术 制造商 进行 了 7年 2亿 人力资源 外包 工作,技术,制造商,18,3,4
846,i 按钮 是 一种 全球 独一无二 的 计算机 芯片 ， 封装 在 一个16毫米 的 钢 外壳 中,计算机,钢,4,7,14
847,指甲 是 从 手指 和 脚趾 皮肤 的 深 褶 中 长 出来 的,皮肤,手指,2,6,3
848,下午6点 前 ， 飞机 从小 机场 最 南端 的 跑道 向西 起飞 。,飞机,跑道,8,3,9
849,动物 工厂 的 污染 也 在 破坏 世界上 的 部分 海洋 。,污染,工厂,1,3,1
850,飞机 正 降落 在 海里,飞机,海里,6,0,4
851,由于 这种 整合 ， 由 这些 村庄 组成 的 地区 现在 被 称为 卡尔巴赫 ， 但 每个 村庄 在 地图 上 仍 有 自己 的 身份,地区,村庄,3,9,17
852,然而 ， 有些 鱼 有 肺 ， 有些 鱼 没有 游泳囊,鱼,肺,3,3,5
853,一旦 相关 专利 列表 出现 ， 点击 专利 号 就会 显示 整个 专利,列表,专利,13,3,12
854,胃 的 肌层 比 其他 地方 厚,肌层,胃,2,2,0
855,当然 ， 问题 是 圣诞节 刚刚 过去 ， 所以 我 有 一堆 全新 的 未 读 书籍 要 处理 。,一堆,书籍,13,11,16
856,现在 的 瑞士 联邦 成立 于 1802年 ， 是 一个 由 不同 种族 的 州 组成 的 联邦 ， 每个 州 都 有 自己 的 特点,联邦,州,13,3,20
857,我 两周前 的 证据 证明 情况 和 他们 提供 证据 时 有所 不同,证据,两周前,8,3,1
858,这本 综合性 的 书 讨论 了 加利福尼亚群岛 的 人类 和 自然 历史,书,历史,14,3,11
859,科学家们 把 这种 物质 放在 一个 小 胶囊 里 ， 这个 胶囊 被 导入 癌细胞 ， 然后 用 激光 脉冲 打开 包装 。,物质,胶囊,6,3,11
860,与此同时 ， 上诉人 已经 离开 了 房子 。,上诉人,房子,8,2,6
861,这些人 来到 一座 海拔 2000多米 的 山上 。,这些人,山上,6,0,6
862,我 有 一个 装满 衣服 的 大 垃圾袋 给 一个十几岁 的 女孩,垃圾袋,衣服,5,7,4
863,这种 波动 是 由 州 和 联邦 税收 、 从 炼油厂 到 加油站 的 距离 以及 环境 法 造成 的 。,波动,税收,1,1,7
864,我 刚 收到 我 一个 老朋友 戈登戈尔茨坦新 出版 的 一本 书,书,老朋友,16,10,5
865,狂犬病 是 由 一种 病毒 引起 的 ， 这种 病毒 通常 通过 受 感染 动物 的 唾液感染 。,狂犬病,病毒,1,0,9
866,正如 本周 那 一天 博物馆 的 标准 做法 一样 ， 只有 维修 人员 、 清洁 人员 、 馆长 和 其他 几名 员工 在 这 座 曾经 是 法国 国王 之 家 、 但 几个 世纪 以来 一直 致力于 收藏 法国 艺术 珍品 的 建筑 的 洞穴 大厅 里 漫步 。,大厅,建筑,2,46,43
867,我 有 一个 装满 衣服 的 垃圾袋 和 一个 装满 啤酒 的 手提箱,手提箱,啤酒,5,12,10
868,皇帝 离开 房间 后 ， 转向 侍从,皇帝,房间,8,0,2
869,在 卢森堡 ， 大多数 移民 工人 都是 在 比利时 、 法国 和 德国 等 邻国 居住 的 跨境 工人 ， 因此 雇主 和 公共 当局 很容易 承认 他们 的 文凭,大多数,工人,18,3,18
870,对 上述 现象 进行 了 各种 研究,研究,现象,18,6,2
871,我们 四个人 没 带 钱 ， 却 拿着 蜡烛 、 茶杯 和 自制 的 横幅 ， 拦 下 了 氰化物 火车 。,四个人,蜡烛,11,1,8
872,在 北美 ， 大约 58% 的 野火 是 由 人类 引起 的,野火,人类,1,6,9
873,我们 在 版权 使用 上 注重 公平,公平,版权,18,6,2
874,他 把 信塞 进 西装 的 胸前 口袋 ， 把 随信附上 的 dvd 塞进 播放机 。,信塞,口袋,6,2,7
875,2009年 配额 从 6周 延长 到 10周,配额,6周,18,1,3
876,一个男人 抱着 一个 刚 学会 走路 的 小孩 ， 飞快 地 从 海滩 上 跑 了 出来 ， 喊 着 海啸 ！,一个男人,海滩,8,0,12
877,沃尔沃 将 信息 存储 在 一个 安全 和 受保护 的 环境 中 ， 只要 他们 相信 这 将 帮助 公司 了解 如何 更好地 为 客户 服务,信息,环境,18,2,10
878,最近 ， 他们 得出结论 ， 砷 是 在 含 水层 中 的 岩石 的 氧化铁 涂层 中 产生 的 。,砷,涂层,8,5,15
879,这次 演讲 也 花 了 相当 多 的 时间 讨论 外交 事务,演讲,事务,14,1,11
880,天主教 教区 如何 处理 虐待 儿童 指控 的 细节 将 在 未来 几周 内 公布,教区,指控,18,1,6
881,运动 系统 通过 调节 肌肉 来 调整 物体 的 尺寸,系统,肌肉,11,1,4
882,这本 精彩 的 小书 追溯 了 该 公司 从 公元前 3000年 到 现在 的 历史 。,小书,历史,14,3,14
883,这部 电影 描述 了 耶稣 在 耶路撒冷 被 钉 十字架 那天 在 拿 撒勒生活 的 最后 十二个小时 。,电影,十二个小时,14,1,16
